X,Y,OBJECTID,STATUS,NAME,ACISA,ISNUM,INT_,STAGE,N7,SECT,COMMCAB,COMMLINE,SWITCH,FDRPAIR,VPAIR,TRUNK,TRNKPAIR,DIST,DISTPAIR,SUBFEED,SUBFEEDPR,CHANNUM,COMMENTS,REVNUM,CONT_TYPE,SPACE_,B,TSNUM,QUICNETID
-77.022957592544842,38.896142281885446,857,M,"8TH ST AND E ST, NW",3240,95,95,1, ,217,12-F06I,228,1,"PR(01,02)",12,050-T06,"PR(32,33)", , ,25-F06H,"PR(01,02)",14, ,3,INTERVAL, , ,820-A,320
-76.994899788531939,38.904766057606842,858,M,8TH ST AND FLORIDA AV & GALLAUDET D,3241,553,553,2, ,336,12-F07L,352,1,"PR(01,02)",12,100-T07,"PR(55,56)", , , , ,22, ,1,ACTUATED, , ,470-A,581
-76.994963058219369,38.900210804830024,859,M,"8TH ST AND H ST, NE",3242,554,554,2, ,336,12-F07K,351,5,"PR(03,04)",12,100-T07,"PR(53,54)", , , , ,21, ,2,INTERVAL, , ,685-D,582
-76.994960820111089,38.902519556831223,860,M,"8TH ST AND K ST & W VIRGINIA AV, NE",3243,555,555,2, ,336,12-F07L,353,4,"PR(03,04)",12,100-T07,"PR(57,58)", , , , ,23, ,0,INTERVAL, , ,121-A,583
-76.994963556457691,38.895437912463599,861,M,"8TH ST AND MARYLAND AV, NE",3244,556,556,2, ,337,12-F07G,344,1,"PR(01,02)",12,100-T07,"PR(36,37)", , , , ,14, ,2,INTERVAL, , ,231,584
-77.023977427173364,38.893884354608431,862,M,"9TH ST AND PENN AVE, NW",4020,109,109,1, ,217,12-F06B,219,1,"PR(01,02)",12,050-T06,"PR(09,10)", , , , ,5, ,1,INTERVAL, , ,668-C.1,333
-77.023970024293149,38.911132521218761,863,M,"9TH ST AND Q ST, NW",4021,110,110,1, ,216,12-F01C,203,4,"PR(01,02)",12,100-T01,"PR(05,06)", , , , ,3, ,3,INTERVAL, , ,250-F,334
-77.023969945643529,38.912613762787146,864,M,"9TH ST AND R ST, NW",4022,111,111,1, ,216,12-F01C,203,6,"PR(01,02)",12,100-T01,"PR(05,06)", , , , ,3, ,4,INTERVAL, , ,685-A,335
-77.023969105270467,38.91162285447443,865,M,"9TH ST AND RHODE ISLAND AVE, NW",4023,112,112,1, ,216,12-F01C,203,5,"PR(01,02)",12,100-T01,"PR(05,06)", , , , ,3, ,5,INTERVAL, , ,476-D,336
-77.023969981810936,38.914093562596534,866,M,"9TH ST AND S ST, NW",4024,113,113,1, ,216,12-F01C,203,7,"PR(01,02)",12,100-T01,"PR(05,06)", , , , ,3, ,4,INTERVAL, , ,691-A,337
